scenario,policy,trial,bytes_kb,hit_rate,seed,ablation
spotty_cellular,acorn,1364,180317.69694273517,0.18333333333333332,1364,full
spotty_cellular,acorn,1365,176141.69833457447,0.0,1365,full
spotty_cellular,acorn,1366,237833.55362662155,0.0,1366,full
spotty_cellular,acorn,1337,218345.35177722175,0.3416666666666667,1337,alpha0
spotty_cellular,acorn,1338,201354.32354786096,0.275,1338,alpha0
spotty_cellular,acorn,1339,190896.3603823971,0.225,1339,alpha0
spotty_cellular,acorn,1340,176896.57494445678,0.275,1340,alpha0
spotty_cellular,acorn,1341,208660.7855395638,0.275,1341,alpha0
spotty_cellular,acorn,1342,239983.3076917663,0.38333333333333336,1342,alpha0
spotty_cellular,acorn,1343,195564.77169966718,0.30833333333333335,1343,alpha0
spotty_cellular,acorn,1344,249939.2759858014,0.4,1344,alpha0
spotty_cellular,acorn,1345,189050.85509963834,0.375,1345,alpha0
spotty_cellular,acorn,1346,236274.60461190308,0.35833333333333334,1346,alpha0
spotty_cellular,acorn,1347,193315.67661498423,0.3333333333333333,1347,alpha0
spotty_cellular,acorn,1348,196241.0333946388,0.3333333333333333,1348,alpha0
spotty_cellular,acorn,1349,192904.27632836785,0.30833333333333335,1349,alpha0
spotty_cellular,acorn,1350,208738.53401810402,0.2833333333333333,1350,alpha0
spotty_cellular,acorn,1351,194887.69487069364,0.275,1351,alpha0
spotty_cellular,acorn,1352,191907.01395895527,0.3,1352,alpha0
spotty_cellular,acorn,1353,185765.8349659088,0.30833333333333335,1353,alpha0
spotty_cellular,acorn,1354,213049.48486896927,0.31666666666666665,1354,alpha0
spotty_cellular,acorn,1355,176406.5156532115,0.26666666666666666,1355,alpha0
spotty_cellular,acorn,1356,198481.77140214224,0.2833333333333333,1356,alpha0
spotty_cellular,acorn,1357,241290.8085367726,0.35,1357,alpha0
spotty_cellular,acorn,1358,156551.33118353234,0.25833333333333336,1358,alpha0
spotty_cellular,acorn,1359,160466.8077894908,0.325,1359,alpha0
spotty_cellular,acorn,1360,248124.28503719487,0.38333333333333336,1360,alpha0
spotty_cellular,acorn,1361,265959.63723767194,0.3416666666666667,1361,alpha0
spotty_cellular,acorn,1362,192897.10506973736,0.3416666666666667,1362,alpha0
spotty_cellular,acorn,1363,243591.16299687955,0.30833333333333335,1363,alpha0
spotty_cellular,acorn,1364,180917.8483609661,0.35,1364,alpha0
spotty_cellular,acorn,1365,178437.5640747996,0.26666666666666666,1365,alpha0
spotty_cellular,acorn,1366,240068.60946018074,0.36666666666666664,1366,alpha0
spotty_cellular,acorn,1337,216932.77204971274,0.19166666666666668,1337,beta0
spotty_cellular,acorn,1338,201060.44155371457,0.06666666666666667,1338,beta0
spotty_cellular,acorn,1339,191114.8184248329,0.09166666666666666,1339,beta0
spotty_cellular,acorn,1340,176566.7217156741,0.09166666666666666,1340,beta0
spotty_cellular,acorn,1341,206811.60400288214,0.0,1341,beta0
spotty_cellular,acorn,1342,237785.58882062908,0.06666666666666667,1342,beta0
spotty_cellular,acorn,1343,196675.8156934445,0.19166666666666668,1343,beta0
spotty_cellular,acorn,1344,250041.38409592176,0.4083333333333333,1344,beta0
spotty_cellular,acorn,1345,187407.95407658574,0.25,1345,beta0
spotty_cellular,acorn,1346,237362.57425670186,0.3,1346,beta0
spotty_cellular,acorn,1347,191841.03121586013,0.008333333333333333,1347,beta0
spotty_cellular,acorn,1348,195367.26615835194,0.025,1348,beta0
spotty_cellular,acorn,1349,192447.2489945346,0.0,1349,beta0
spotty_cellular,acorn,1350,206592.307189975,0.0,1350,beta0
spotty_cellular,acorn,1351,195001.29372083535,0.058333333333333334,1351,beta0
spotty_cellular,acorn,1352,192818.8851332081,0.0,1352,beta0
spotty_cellular,acorn,1353,186497.82877218362,0.03333333333333333,1353,beta0
spotty_cellular,acorn,1354,213466.42598567955,0.008333333333333333,1354,beta0
spotty_cellular,acorn,1355,176918.1077052042,0.20833333333333334,1355,beta0
spotty_cellular,acorn,1356,197588.1773541359,0.0,1356,beta0
spotty_cellular,acorn,1357,240021.71820578456,0.08333333333333333,1357,beta0
spotty_cellular,acorn,1358,155943.29916855684,0.0,1358,beta0
spotty_cellular,acorn,1359,159623.6605484491,0.016666666666666666,1359,beta0
spotty_cellular,acorn,1360,247741.08014327934,0.2,1360,beta0
spotty_cellular,acorn,1361,265357.72160165664,0.13333333333333333,1361,beta0
spotty_cellular,acorn,1362,191782.7519692645,0.0,1362,beta0
spotty_cellular,acorn,1363,243401.13285544876,0.175,1363,beta0
spotty_cellular,acorn,1364,180777.64793041404,0.18333333333333332,1364,beta0
spotty_cellular,acorn,1365,177008.86991656868,0.0,1365,beta0
spotty_cellular,acorn,1366,237396.90106115834,0.0,1366,beta0
spotty_cellular,acorn,1337,215322.44640235542,0.09166666666666666,1337,gamma0
spotty_cellular,acorn,1338,200478.8877325317,0.025,1338,gamma0
spotty_cellular,acorn,1339,189893.99710451238,0.03333333333333333,1339,gamma0
